names,Event,Depth,Lat,Lon,Julian,Cruise,diatom,phaeocystis,dinoflagellate
HH63E49240Mapril121020181dr.txt,492,40,76.2,30.08333333,117,Spring_2018,NA,NA,NA
HH63E4925Mapril161020181dr.txt,492,5,76.2,30.08333333,117,Spring_2018,NA,NA,NA
HH65E49515Mapril151020182dr.txt,495,15,76.5,29.98333333,117,Spring_2018,NA,NA,NA
HH65E49530Mapril101020182dr.txt,495,30,76.5,29.98333333,117,Spring_2018,NA,NA,NA
HH65E4955Mapril171020182dr.txt,495,5,76.5,29.98333333,117,Spring_2018,NA,NA,NA
HH70E54615Mapril161020181dr.txt,546,15,76.48333333,28.3,119,Spring_2018,NA,NA,NA
HH70E54620Mapril171020182dr.txt,546,20,76.48333333,28.3,119,Spring_2018,NA,NA,NA
HH70E54650Mapril101020181dr.txt,546,50,76.48333333,28.3,119,Spring_2018,NA,NA,NA
HH70E5465Mapril171020181dr.txt,546,5,76.48333333,28.3,119,Spring_2018,NA,NA,NA
HH71E57620Mapril111020181dr.txt,576,20,75.93333333,29.95,120,Spring_2018,NA,NA,NA
HH71E5762p5Mapril181020181dr.txt,576,2.5,75.93333333,29.95,120,Spring_2018,NA,NA,NA
HH71E57680Mapril101020181dr.txt,576,80,75.93333333,29.95,120,Spring_2018,NA,NA,NA
HH73E60715Mapril171020181dr.txt,607,15,75.98333333,25.85,121,Spring_2018,NA,NA,NA
HH73E60730Mapril121020181dr.txt,607,30,75.98333333,25.85,121,Spring_2018,NA,NA,NA
HH73E6075Mapril161020181dr.txt,607,5,75.98333333,25.85,121,Spring_2018,NA,NA,NA
HH74E61020Mapril151020182dr.txt,610,20,75.98333333,18.88333333,122,Spring_2018,NA,NA,NA
HH74E6102Mapril171020181dr.txt,610,2,75.98333333,18.88333333,122,Spring_2018,NA,NA,NA
HH74E61040Mapril111020181dr.txt,610,40,75.98333333,18.88333333,122,Spring_2018,NA,NA,NA
HH75E63310Mapril111020181dr.txt,633,10,76.51666667,14.03333333,122,Spring_2018,NA,NA,NA
HH75E6332Mapril171020181dr.txt,633,2,76.51666667,14.03333333,122,Spring_2018,NA,NA,NA
HH75E63333Mapril101020182dr.txt,633,35,76.51666667,14.03333333,122,Spring_2018,NA,NA,NA
SIE512april101020181dr.txt,512,0,76.48333333,29.86666667,118,Spring_2018,NA,NA,NA
SIE609april171020182dr.txt,609,0,75.98333333,25.85,121,Spring_2018,NA,NA,NA
T2E45225Mapril171020182dr.txt,452,25,70.81666667,22.35,114,Spring_2018,NA,NA,NA
T2E4525Mapril181020181dr.txt,452,5,70.81666667,22.35,114,Spring_2018,NA,NA,NA
B12E2801Mjune141120182dr.txt,280,1,75.4998,25.9997,184,Summer_2018,NA,NA,NA
